measure,domain,trial_type,ci_width_proportion_mean,variance,ci_width_proportion_mean_logit
IRAP,Disgust (1),tt2,0.5357152274225445,6.137635617835629e-5,0.143104629791313
IRAP,Disgust (1),tt3,0.4201945945945946,8.93858550442334e-5,-0.32197461488242535
IRAP,Disgust (1),tt4,0.46847256719868186,1.573752856237708e-4,-0.12627726494986283
IRAP,Disgust (2),tt1,0.456897532625535,7.919220925219246e-5,-0.17283885985739522
IRAP,Disgust (2),tt2,0.4993176894962353,1.4090165380007796e-4,-0.002729243709183734
IRAP,Disgust (2),tt3,0.4820561498302362,9.843315198738124e-5,-0.07180623833890175
IRAP,Disgust (2),tt4,0.4871874544836627,2.0253206104644896e-4,-0.05126140421729404
IRAP,Friend-Enemy,tt1,0.40103297758073,8.269570928411815e-5,-0.4011628799269149
IRAP,Friend-Enemy,tt2,0.4494501088326269,7.796733926599459e-5,-0.20289272571413933
IRAP,Friend-Enemy,tt3,0.5415441634185348,7.820402352227801e-5,0.1665606551412479
IRAP,Friend-Enemy,tt4,0.49059829059829063,7.838108391335235e-5,-0.03761127074578323
IRAP,Gender (1),tt1,0.5208177309988867,7.599603380624128e-5,0.08331909114469224
IRAP,Gender (1),tt2,0.5474939928126396,5.052861432389595e-5,0.19055045099471488
IRAP,Gender (1),tt3,0.5349337266796859,7.302059004856786e-5,0.13996294515637384
IRAP,Gender (1),tt4,0.54942001499581,1.2918439262951548e-4,0.19832759517371729
IRAP,Gender (2),tt1,0.458512872832023,4.713610543479103e-5,-0.16633092634358235
IRAP,Gender (2),tt2,0.5182430403637455,2.4012291463786876e-05,0.0730045683531967
IRAP,Gender (2),tt3,0.4963877753351437,4.545218497754486e-5,-0.01444915004282135
IRAP,Gender (2),tt4,0.5544699068244775,2.9151669383189173e-5,0.2187477406421313
IRAP,Lincoln-Hitler,tt1,0.4289945182296457,6.92071348131785e-5,-0.28595466908136796
IRAP,Lincoln-Hitler,tt2,0.4321184496570942,5.6655557313322206e-5,-0.27321311916314356
IRAP,Lincoln-Hitler,tt3,0.399660828468168,4.6751904667887484e-5,-0.40687852280524595
IRAP,Lincoln-Hitler,tt4,0.39453610515316506,4.907073492299492e-5,-0.42828427515714684
IRAP,Personality - Agreeableness,tt1,0.504237009787821,1.6846063511977505e-4,0.016948444842722062
IRAP,Personality - Agreeableness,tt2,0.5321214870498779,8.409823613933734e-5,0.1286631478824722
IRAP,Personality - Agreeableness,tt3,0.4421855491015688,1.0758567191724701e-4,-0.23229679347475113
IRAP,Personality - Agreeableness,tt4,0.4538168078940611,6.047868846471636e-5,-0.18526082638003372
IRAP,Personality - Conscientiousness,tt1,0.4670763466427858,1.765208887166242e-4,-0.13188544694408252
IRAP,Personality - Conscientiousness,tt2,0.5954389253358325,6.047576186824928e-5,0.38649611008050916
IRAP,Personality - Conscientiousness,tt3,0.47858649165336326,4.1635317478429895e-5,-0.08570645863656574
IRAP,Personality - Conscientiousness,tt4,0.5009537578057546,3.4679313590670444e-5,0.003815035850172807
IRAP,Personality - Extraversion,tt1,0.5539815499165093,1.6252666941938423e-4,0.216771063728271
IRAP,Personality - Extraversion,tt2,0.5152284263959391,1.0698520024642832e-4,0.06093255099515773
IRAP,Personality - Extraversion,tt3,0.4831978319783198,1.7503186818946287e-4,-0.06723398773727862
IRAP,Personality - Extraversion,tt4,0.5656838656838657,8.429900053057304e-5,0.26426269195184315
IRAP,Personality - Neuroticism,tt1,0.5166066049913942,2.0114078850203454e-4,0.06645086152282537
IRAP,Personality - Neuroticism,tt2,0.5134559120258273,6.4165836617237e-5,0.05383664761154437
IRAP,Personality - Neuroticism,tt3,0.5250503391267486,1.6227119282014792e-4,0.10028532073626552
IRAP,Personality - Neuroticism,tt4,0.481951480904131,5.33073900726745e-5,-0.07222545712210483
IRAP,Personality - Openness,tt1,0.5231199959460828,1.502882108327879e-4,0.09254598009093508
IRAP,Personality - Openness,tt2,0.526473666743254,6.36591100976197e-5,0.10599378950254955
IRAP,Personality - Openness,tt3,0.5616409276654462,4.19300006264599e-5,0.24782435257870117
IRAP,Personality - Openness,tt4,0.47275235424219625,1.1086398421734392e-4,-0.10909866679988367
IRAP,Race (1),tt1,0.4745452165946865,1.0451444846421174e-4,-0.10190723506606589
IRAP,Race (1),tt2,0.5395738203957382,4.257842108639826e-5,0.15862706850128597
IRAP,Race (1),tt3,0.5068361894232541,1.0746270848239354e-4,0.027346461771945715
IRAP,Race (1),tt4,0.5432679738562092,5.6263452347579546e-5,0.1735058615251163
IRAP,Race (2),tt1,0.3577299487728419,1.876068737380284e-4,-0.5852304870746516
IRAP,Race (2),tt2,0.45332566168009203,1.6084855830681785e-4,-0.18724249840939886
IRAP,Race (2),tt3,0.4914568571284989,2.1678600130727485e-4,-0.03417589752868788
IRAP,Race (2),tt4,0.47960906155201094,2.2229008673951722e-4,-0.0816090168663394
IRAP,Religion,tt1,0.5171458520515124,2.0634225809679327e-4,0.06861031007859553
IRAP,Religion,tt2,0.5722709776751347,1.0953003444656752e-4,0.2911227467319761
IRAP,Religion,tt3,0.45578179989944695,1.0954007551928978e-4,-0.17733608356162173
IRAP,Religion,tt4,0.524671803652968,1.7583929459073777e-4,0.09876742608991923
IRAP,Rich-Poor,tt1,0.5307199669455636,7.57575959462053e-5,0.12303483725085967
IRAP,Rich-Poor,tt2,0.47046436188325536,2.4448050822602014e-5,-0.11828025704545408
IRAP,Rich-Poor,tt3,0.5469752663385459,5.165438483672166e-5,0.1884568607816204
IRAP,Rich-Poor,tt4,0.5127810979580891,2.7941366022782445e-5,0.05113553153329829
IRAP,Sexuality (1),tt1,0.43418721393769377,1.7074520253281583e-4,-0.2647874472056661
IRAP,Sexuality (1),tt2,0.5079848209344612,6.338523384543456e-5,0.03194199930616348
IRAP,Sexuality (1),tt3,0.4141568308234975,1.2923684745689906e-4,-0.3468074038602625
IRAP,Sexuality (1),tt4,0.4757849096047385,7.331856433709824e-5,-0.09693619642274351
IRAP,Sexuality (2),tt1,0.39490584258812167,3.682471727880945e-4,-0.4267367147160866
IRAP,Sexuality (2),tt2,0.3884820088250011,1.0623815862222089e-4,-0.4536975166716372
IRAP,Sexuality (2),tt3,0.36033336070284916,1.3298597135191117e-4,-0.5739175596252369
IRAP,Sexuality (2),tt4,0.4252659512558486,1.0851330566336872e-4,-0.30119266900265557
IRAP,Shapes & colors (1),tt1,0.7149833637436943,0.001968908683773629,0.9197117235378128
IRAP,Shapes & colors (1),tt2,0.6232530614102973,8.7753186080515e-4,0.5033789227683227
IRAP,Shapes & colors (1),tt3,0.5710955710955711,3.787501071467107e-4,0.2863224529357412
IRAP,Shapes & colors (1),tt4,0.600971875806313,1.1304293621029556e-4,0.4095162366701208
IRAP,Shapes & colors (2),tt1,0.4912840136054421,6.253954836847812e-4,-0.034867477633992804
IRAP,Shapes & colors (2),tt2,0.6181513409961685,6.42428393349089e-4,0.48170896633269206
IRAP,Shapes & colors (2),tt3,0.7260081823495033,5.160665134615794e-4,0.9744630418624
IRAP,Shapes & colors (2),tt4,0.6655657823497564,6.148912533078136e-4,0.6881972779714419
IRAP,Shapes & colors (3),tt1,0.6637214137214137,4.095931850609606e-4,0.6799225615316387
IRAP,Shapes & colors (3),tt2,0.5685968819599109,1.5167142579209e-4,0.2761287538344878
IRAP,Shapes & colors (3),tt3,0.5205790645879732,5.679295021133603e-4,0.08236278666885857
IRAP,Shapes & colors (3),tt4,0.5160973526900086,1.6449839557338517e-4,0.0644116711265085
IRAP,Shapes & colors (4),tt1,0.5661309523809525,6.57267877389051e-4,0.26608266110017287
IRAP,Shapes & colors (4),tt2,0.6286205203730977,3.925295629287253e-4,0.5263033724111693
IRAP,Shapes & colors (4),tt3,0.6905447878470403,3.5044880693103203e-4,0.802667462343562
IRAP,Shapes & colors (4),tt4,0.5789412852519649,0.001203930014253748,0.318428776349053
IRAP,Shapes & colors (5),tt1,0.5528703542139243,6.735244192044618e-4,0.21227494531690802
IRAP,Shapes & colors (5),tt2,0.6051847959362411,1.119769182593625e-4,0.42711604160204897
IRAP,Shapes & colors (5),tt3,0.5912584251191847,2.260161563073526e-4,0.3691700792910005
IRAP,Shapes & colors (5),tt4,0.6302574618364092,1.821885328327442e-4,0.5333214848583152
IRAP,Shapes & colors (6),tt1,0.5430555555555555,1.939590587738736e-4,0.17264980921999376
IRAP,Shapes & colors (6),tt2,0.5845129668239512,1.5324703494618933e-4,0.3413275590888442
IRAP,Shapes & colors (6),tt3,0.5863469554993408,8.297350883516491e-5,0.3488841229034454
IRAP,Shapes & colors (6),tt4,0.541954801454338,2.0521803856578648e-4,0.16821473978577348
IRAP,Shapes & colors (7),tt1,0.5608954998489882,0.0013354196401324369,0.24479718729831418
IRAP,Shapes & colors (7),tt2,0.6682974559686888,2.7636524883521994e-4,0.7004947521903399
IRAP,Shapes & colors (7),tt3,0.5789873417721518,4.597959963446263e-4,0.31861771482985324
IRAP,Shapes & colors (7),tt4,0.4707427088482451,3.632237929773984e-4,-0.1171630072611042
IRAP,Stigma - ADHD,tt1,0.4289176090468498,9.045400735241352e-5,-0.2862686446546337
IRAP,Stigma - ADHD,tt2,0.480901132779907,2.8530500908351337e-5,-0.07643265680867814
IRAP,Stigma - ADHD,tt3,0.5156179538826925,8.995981145162635e-5,0.062492144973737465
IRAP,Stigma - ADHD,tt4,0.4894504665302628,3.2470049405825005e-5,-0.042204397341907396
IRAP,Stigma - PTSD,tt1,0.4506255144032922,8.797318888022963e-5,-0.19814368252473755
IRAP,Stigma - PTSD,tt2,0.4809945863867433,3.626873780187377e-5,-0.0760582988363382
IRAP,Stigma - PTSD,tt3,0.4381703703703704,3.3244511737453745e-5,-0.2485908456149691
IRAP,Stigma - PTSD,tt4,0.4683476143653134,4.6447710837232125e-5,-0.1267790793733339
IRAP,Stigma - Schizophrenia,tt1,0.5571090271857535,5.040051040139232e-5,0.22943733205697958
IRAP,Stigma - Schizophrenia,tt2,0.4766342978903365,5.7284504718543715e-5,-0.0935309331701804
IRAP,Stigma - Schizophrenia,tt3,0.47516778523489933,8.902366190179825e-5,-0.099410646851591275
IRAP,Stigma - Schizophrenia,tt4,0.47723985503713456,2.3963271688202857e-5,-0.09110353977669276
IRAP,Valenced words,tt1,0.41888857420294545,2.5750372044301017e-4,-0.3273375693812685
IRAP,Valenced words,tt2,0.4752081368166345,1.2035296507629063e-4,-0.09924884207234635
IRAP,Valenced words,tt3,0.48685441567588594,1.0871958861307113e-4,-0.05259445774195027
IRAP,Valenced words,tt4,0.4317855837106617,9.391735929393205e-5,-0.27456970992904445
IAT,50 Cent - Britney Spears,iat,0.3400779625779626,3.525355031332162e-5,-0.6629468099005444
IAT,African Americans - European Americans,iat,0.2750854700854701,1.8994698980453966e-5,-0.968971908443107
IAT,Artists - Musicians,iat,0.3482588111520252,1.8322011934388484e-5,-0.6267016199355792
IAT,Asians - Whites,iat,0.28335769561478935,1.9476259322784706e-5,-0.927866796352111
IAT,Astrology - Science,iat,0.20987158379980245,1.5243817036372445e-5,-1.325699646446681
IAT,Atheism - Religion,iat,0.23299507762211283,2.197458930905709e-5,-1.1914758917920647
IAT,Athletic People - Intelligent People,iat,0.3131204644412191,2.8564551794828094e-5,-0.7855709413996225
IAT,Avoiding - Approaching,iat,0.2477439024390244,4.9706320470918e-5,-1.110681260083738
IAT,Bill Clinton - Hillary Clinton,iat,0.24994963192561023,1.6768790256806055e-5,-1.0988809364414986
IAT,Briefs - Boxers,iat,0.2939005821764442,1.8210951404274133e-5,-0.8765144917375574
IAT,Burger King - McDonald's,iat,0.3084682213077275,1.7241553131833837e-5,-0.8072902785281086
IAT,Canadian - American,iat,0.24223560406473466,1.4653653818377158e-5,-1.1404616909626808
IAT,Capital Punishment - Imprisonment,iat,0.26024990083300276,1.3506476600367327e-5,-1.0446700988851871
IAT,Career - Family,iat,0.28266932270916334,3.265071976650335e-5,-0.9312591864888327
IAT,Chaos - Order,iat,0.24331037277147488,4.5646949619073185e-5,-1.1346152831529417
IAT,Coffee - Tea,iat,0.28129508909169926,1.638675650417045e-5,-0.9380466000547086
IAT,Cold - Hot,iat,0.2103557046979866,2.5212510219987355e-5,-1.3227826552553714
IAT,Conservatives - Liberals,iat,0.23436182445381373,2.4687982141256258e-5,-1.1838435229808848
IAT,Corporations - Nonprofits,iat,0.23738167938931296,2.0261404912124563e-5,-1.1670883637238219
IAT,David Letterman - Jay Leno,iat,0.3175506358926048,1.3709626359807876e-5,-0.7650510437797532
IAT,Denzel Washington - Tom Cruise,iat,0.2907826475849732,2.262762606269492e-5,-0.8915859689154387
IAT,Determinism - Free will,iat,0.309183869419107,4.2591429708984445e-5,-0.803937549988778
IAT,Difficult - Simple,iat,0.21608483483483484,3.105749230780512e-5,-1.2886297223565084
IAT,Dogs - Cats,iat,0.25841914722445697,1.5475082248870658e-5,-1.0542013267860348
IAT,Dramas - Comedies,iat,0.2637216961712639,3.16416969120908e-5,-1.0267138115206753
IAT,Drinking - Abstaining,iat,0.2399623493975904,2.0597295970116324e-5,-1.1528859387942392
IAT,Effort - Talent,iat,0.2693064091308165,3.9637568886228225e-5,-0.99814440878062
IAT,Evolution - Creationism,iat,0.24614453272796066,1.8188698573653076e-5,-1.1192817668475221
IAT,Fat People - Thin People,iat,0.2695178105994787,3.179144347800998e-5,-0.9970703737786187
IAT,Foreign Places - American Places,iat,0.23929229635090304,2.1114224687442278e-5,-1.156563387041178
IAT,Friends - Family,iat,0.26713036565977744,1.2781824656415508e-5,-1.0092310337351988
IAT,Gay People - Straight People,iat,0.2862964563526361,3.174572919141883e-5,-0.9134398365071014
IAT,George Bush - John Kerry,iat,0.27564814814814814,1.4317924022503485e-5,-0.9661520306693043
IAT,Gun Control - Gun Rights,iat,0.2855776720034617,1.6577660127866172e-5,-0.9169602351186859
IAT,Helpers - Leaders,iat,0.24634248665141115,1.7491897560259443e-5,-1.118215248637929
IAT,Hiphop - Classical,iat,0.25665871121718375,2.47093129722719e-5,-1.0634080476856607
IAT,Innocence - Wisdom,iat,0.2808506136267457,1.8192026883199457e-5,-0.9402462019153959
IAT,Japan - United States,iat,0.2814700704225352,2.6923462925976682e-5,-0.9371812401316888
IAT,Jazz - Teen Pop,iat,0.23979090242112985,1.4931563998092181e-5,-1.1538262201527958
IAT,Jews - Christians,iat,0.2482839313572543,2.0966342364752124e-5,-1.1077857085691947
IAT,Jocks - Nerds,iat,0.32904287138584243,2.827649161240609e-5,-0.7125171927086801
IAT,Kobe - Shaq,iat,0.35790835579514824,2.8399376830033388e-5,-0.5844540772542784
IAT,Lawyers - Politicians,iat,0.32424988168480834,9.363137592257618e-6,-0.7343089019360738
IAT,Lord of the Rings - Harry Potter,iat,0.27851391862955033,2.1682670650954242e-5,-0.9518450515436215
IAT,Manufactured - Natural,iat,0.31349918875067606,6.39547400661604e-5,-0.7838106345727209
IAT,Meat - Vegetables,iat,0.24062863795110595,2.2748718780554082e-5,-1.1492361121143275
IAT,Meg Ryan - Julia Roberts,iat,0.2674989509022241,1.9084586124179237e-5,-1.0073491286380643
IAT,Microsoft - Apple,iat,0.2574162679425837,2.1537768040824286e-5,-1.0594411405813797
IAT,Money - Love,iat,0.2521076642335766,3.3678026973071324e-5,-1.087402796180583
IAT,Mother Teresa - Princess Diana,iat,0.28719096334185845,2.137492012650905e-5,-0.9090661817753106
IAT,Mountains - Ocean,iat,0.24689943074003798,2.4339464700910576e-5,-1.1152176862771421
IAT,Muslims - Jews,iat,0.3045821462488129,1.9022019677114473e-5,-0.8255720683348053
IAT,National Defense - Education,iat,0.31674480554075646,5.5469198665232635e-5,-0.7687720075272317
IAT,New York - California,iat,0.26788911704312113,1.8414203978742348e-5,-1.0053588294192963
IAT,Night - Morning,iat,0.2478215010141988,3.772738115617125e-5,-1.1102649284129442
IAT,Numbers - Letters,iat,0.26654268808114967,1.7200849738726063e-5,-1.0122349869010427
IAT,Old People - Young People,iat,0.32216849451645063,3.066190689440083e-5,-0.7438240564893657
IAT,Organized Labor - Management,iat,0.2914964157706093,1.6085860370122514e-5,-0.8881274081138696
IAT,Pants - Skirts,iat,0.30378341013824883,2.098584841813621e-5,-0.8293458234234873
IAT,Past - Future,iat,0.2617580504786771,3.345237780176095e-5,-1.0368510101077164
IAT,Pepsi - Coke,iat,0.28465259454705366,2.206130930404176e-5,-0.9214988362209431
IAT,Poor People - Rich People,iat,0.2739362795477903,4.896277476223795e-5,-0.9747422572435105
IAT,Private - Public,iat,0.26802685109845403,1.4132493574573732e-5,-1.0046566653020472
IAT,Prolife - Prochoice,iat,0.2675246710526316,1.45478745700163e-5,-1.0072178693886547
IAT,Protein - Carbohydrates,iat,0.25094656488549616,1.572153208561343e-5,-1.0935702953491129
IAT,Protestants - Catholics,iat,0.2716322397731875,1.4434370163417643e-5,-0.9863569940092297
IAT,Punishment - Forgiveness,iat,0.2506559571619813,3.866999647067711e-5,-1.0951169040057713
IAT,Realism - Idealism,iat,0.2557419898819562,4.231056947252642e-5,-1.0682186782775753
IAT,Reason - Emotions,iat,0.24201183431952664,1.707607967564727e-5,-1.1416811458539324
IAT,Rebellious - Conforming,iat,0.2472063621533442,3.1962649704117874e-5,-1.1135676747972971
IAT,Receiving - Giving,iat,0.3014240790655885,1.3691926493889568e-5,-0.8405256904485208
IAT,Redsox - Yankees,iat,0.23000356125356128,1.8449422446434952e-05,-1.2082910973179493
IAT,Relaxing - Exercising,iat,0.23295790251107826,1.943658527923051e-5,-1.1916839244420805
IAT,Republicans - Democrats,iat,0.20386462154051352,1.5521162664452955e-5,-1.3623130911734793
IAT,Rich People - Beautiful People,iat,0.3368198433420366,2.9477246680963385e-5,-0.6774984848543308
IAT,Security - Freedom,iat,0.32205940594059407,2.042502864147801e-5,-0.7443236456933177
IAT,Single - Married,iat,0.23637504481893154,1.6308035806536874e-5,-1.1726570556895537
IAT,Skeptical - Trusting,iat,0.18688896899783705,3.2201052525621126e-5,-1.470352977880031
IAT,Solitude - Companionship,iat,0.2661361665221162,2.9418453096926015e-5,-1.0143154164100316
IAT,Southerners - Northerners,iat,0.23488337095560569,2.2049477341478825e-5,-1.1809391813297496
IAT,Speed - Accuracy,iat,0.23618511796733213,1.2619532168400585e-5,-1.173709563089718
IAT,Stable - Flexible,iat,0.2554302325581395,1.7205086590925777e-5,-1.0698572482387316
IAT,State - Church,iat,0.2471906225980015,1.231896690777726e-5,-1.1136522545013445
IAT,Strong - Sensitive,iat,0.28156031672100607,3.5183662710400884e-5,-0.9367350602611485
IAT,Tall People - Short People,iat,0.25913896676011217,1.642884411379212e-5,-1.050448599216271
IAT,Tax Reductions - Social Programs,iat,0.2943822739480752,2.8327457662311943e-5,-0.8741944520649275
IAT,Team - Individual,iat,0.27141738772146684,1.238996680967749e-5,-0.9874432076066046
IAT,Technology - Nature,iat,0.2684758529020824,3.780867982949665e-5,-1.002369253723014
IAT,Television - Books,iat,0.252201306185171,1.4749204749631277e-5,-1.0869062131561473
IAT,Tradition - Progress,iat,0.2675519348268839,2.8299930376726142e-5,-1.0070787412129354
IAT,Traditional Values - Feminism,iat,0.25181675186787256,2.0897244429616992e-5,-1.0889462842407671
IAT,Urban - Rural,iat,0.2757246376811594,2.9435846690497907e-5,-0.9657689766387143
IAT,West Coast - East Coast,iat,0.24827701448199033,1.4011087868025212e-5,-1.107822769092558
IAT,Winter - Summer,iat,0.23825265643447463,2.1491230587668837e-5,-1.1622832383315451
IAT,Wrinkles - Plastic Surgery,iat,0.2561568173039784,1.688239388846333e-5,-1.0660404121402287
