method,domain,trial_type,proportion_discriminable,ci_lower,ci_upper,variance,scoring_method
SEM,Body image,tt1,0.10476190476190476,0.009523809523809525,0.22380952380952382,0.0029882319441729218,*D* scores SEM CIs
SEM,Body image,tt2,0.05238095238095238,0,0.13333333333333333,0.0011569253551760843,*D* scores SEM CIs
SEM,Body image,tt3,0.09523809523809523,0.009523809523809525,0.20952380952380953,0.0026030820491461893,*D* scores SEM CIs
SEM,Body image,tt4,0.15714285714285714,0.04285714285714286,0.2761904761904762,0.003543083900226758,*D* scores SEM CIs
SEM,Clinton-Trump,tt1,0.0745274914089347,0.039953866717455114,0.11597396833409127,3.7608391359093124e-4,*D* scores SEM CIs
SEM,Clinton-Trump,tt2,0.07667525773195877,0.03436967427759258,0.12112860750934899,4.898422854743055e-4,*D* scores SEM CIs
SEM,Clinton-Trump,tt3,0.09965635738831616,0.053479381443298966,0.1488347930763593,5.917231445042677e-4,*D* scores SEM CIs
SEM,Clinton-Trump,tt4,0.10309278350515463,0.058639433727764395,0.1496830733871535,5.394200543021586e-4,*D* scores SEM CIs
SEM,Countries (1),tt1,0.09433962264150944,0.027594487254333108,0.1625544267053701,0.0011853254670337603,*D* scores SEM CIs
SEM,Countries (1),tt2,0.061683599419448475,0.01741654571843251,0.11248185776487664,5.881282248599408e-4,*D* scores SEM CIs
SEM,Countries (1),tt3,0.13933236574746008,0.07474600870827286,0.2111756168359942,0.0012112816257473194,*D* scores SEM CIs
SEM,Countries (1),tt4,0.06531204644412192,0.018867924528301886,0.12264150943396226,7.00811961433537e-4,*D* scores SEM CIs
SEM,Countries (2),tt1,0.06938775510204082,0.02122448979591837,0.12816326530612246,7.442147612727656e-4,*D* scores SEM CIs
SEM,Countries (2),tt2,0.14775510204081632,0.07348996198895594,0.22773452780696238,0.0015482732510142467,*D* scores SEM CIs
SEM,Countries (2),tt3,0.13714285714285715,0.06285714285714286,0.2146938775510204,0.0015003119795462148,*D* scores SEM CIs
SEM,Countries (2),tt4,0.05959183673469388,0.013877551020408163,0.11995885153229208,7.323278268359943e-4,*D* scores SEM CIs
SEM,Death (1),tt1,0.029411764705882353,0,0.08823529411764706,5.066552431296649e-4,*D* scores SEM CIs
SEM,Death (1),tt2,0.17647058823529413,0.029411764705882353,0.32334409237888895,0.005622410795714788,*D* scores SEM CIs
SEM,Death (1),tt3,0.19852941176470587,0,0.38235294117647056,0.009513859565434817,*D* scores SEM CIs
SEM,Death (1),tt4,0.11029411764705882,0,0.2867647058823529,0.005351546005557084,*D* scores SEM CIs
SEM,Death (2),tt1,0.10526315789473684,0.005263157894736842,0.22105263157894736,0.003030319199871707,*D* scores SEM CIs
