unique_id,domain,trial_type,method,estimate,ci_lower,ci_upper,sig,ci_width
ADHD_101_ADHD,Stigma - ADHD,tt1,normal,-0.467,-0.896,-0.011,TRUE,0.885
ADHD_101_ADHD,Stigma - ADHD,tt1,basic,-0.467,-0.956,-0.047,TRUE,0.91
ADHD_101_ADHD,Stigma - ADHD,tt1,percent,-0.467,-0.887,0.022,FALSE,0.91
ADHD_101_ADHD,Stigma - ADHD,tt1,bca,-0.467,-0.795,0.164,FALSE,0.959
ADHD_101_ADHD,Stigma - ADHD,tt2,normal,0.072,-0.517,0.633,FALSE,1.15
ADHD_101_ADHD,Stigma - ADHD,tt2,basic,0.072,-0.529,0.624,FALSE,1.153
ADHD_101_ADHD,Stigma - ADHD,tt2,percent,0.072,-0.48,0.673,FALSE,1.153
ADHD_101_ADHD,Stigma - ADHD,tt2,bca,0.072,-0.503,0.654,FALSE,1.157
ADHD_101_ADHD,Stigma - ADHD,tt3,normal,-0.308,-0.889,0.322,FALSE,1.212
ADHD_101_ADHD,Stigma - ADHD,tt3,basic,-0.308,-0.868,0.297,FALSE,1.165
ADHD_101_ADHD,Stigma - ADHD,tt3,percent,-0.308,-0.914,0.252,FALSE,1.165
ADHD_101_ADHD,Stigma - ADHD,tt3,bca,-0.308,-0.835,0.361,FALSE,1.197
ADHD_101_ADHD,Stigma - ADHD,tt4,normal,-0.37,-0.882,0.107,FALSE,0.988
ADHD_101_ADHD,Stigma - ADHD,tt4,basic,-0.37,-0.964,0.036,FALSE,1
ADHD_101_ADHD,Stigma - ADHD,tt4,percent,-0.37,-0.776,0.224,FALSE,1
ADHD_101_ADHD,Stigma - ADHD,tt4,bca,-0.37,-0.774,0.225,FALSE,0.999
ADHD_106_ADHD,Stigma - ADHD,tt1,normal,0.875,0.473,1.197,TRUE,0.724
ADHD_106_ADHD,Stigma - ADHD,tt1,basic,0.875,0.46,1.204,TRUE,0.744
ADHD_106_ADHD,Stigma - ADHD,tt1,percent,0.875,0.545,1.29,TRUE,0.744
ADHD_106_ADHD,Stigma - ADHD,tt1,bca,0.875,0.401,1.171,TRUE,0.77
ADHD_106_ADHD,Stigma - ADHD,tt2,normal,0.134,-0.584,0.735,FALSE,1.318
ADHD_106_ADHD,Stigma - ADHD,tt2,basic,0.134,-0.644,0.637,FALSE,1.281
ADHD_106_ADHD,Stigma - ADHD,tt2,percent,0.134,-0.37,0.912,FALSE,1.281
ADHD_106_ADHD,Stigma - ADHD,tt2,bca,0.134,-0.466,0.793,FALSE,1.26
ADHD_106_ADHD,Stigma - ADHD,tt3,normal,0.243,-0.301,0.797,FALSE,1.098
ADHD_106_ADHD,Stigma - ADHD,tt3,basic,0.243,-0.27,0.818,FALSE,1.088
ADHD_106_ADHD,Stigma - ADHD,tt3,percent,0.243,-0.332,0.756,FALSE,1.088
ADHD_106_ADHD,Stigma - ADHD,tt3,bca,0.243,-0.343,0.752,FALSE,1.095
ADHD_106_ADHD,Stigma - ADHD,tt4,normal,0.17,-0.379,0.751,FALSE,1.13
ADHD_106_ADHD,Stigma - ADHD,tt4,basic,0.17,-0.325,0.788,FALSE,1.113
ADHD_106_ADHD,Stigma - ADHD,tt4,percent,0.17,-0.447,0.666,FALSE,1.113
ADHD_106_ADHD,Stigma - ADHD,tt4,bca,0.17,-0.445,0.668,FALSE,1.114
ADHD_108_ADHD,Stigma - ADHD,tt1,normal,0.171,-0.366,0.816,FALSE,1.182
ADHD_108_ADHD,Stigma - ADHD,tt1,basic,0.171,-0.251,0.958,FALSE,1.209
ADHD_108_ADHD,Stigma - ADHD,tt1,percent,0.171,-0.616,0.593,FALSE,1.209
ADHD_108_ADHD,Stigma - ADHD,tt1,bca,0.171,-0.522,0.664,FALSE,1.186
ADHD_108_ADHD,Stigma - ADHD,tt2,normal,-0.139,-0.724,0.437,FALSE,1.161
ADHD_108_ADHD,Stigma - ADHD,tt2,basic,-0.139,-0.727,0.392,FALSE,1.119
ADHD_108_ADHD,Stigma - ADHD,tt2,percent,-0.139,-0.67,0.45,FALSE,1.119
ADHD_108_ADHD,Stigma - ADHD,tt2,bca,-0.139,-0.654,0.469,FALSE,1.122
ADHD_108_ADHD,Stigma - ADHD,tt3,normal,0.208,-0.314,0.789,FALSE,1.103
ADHD_108_ADHD,Stigma - ADHD,tt3,basic,0.208,-0.225,0.872,FALSE,1.096
ADHD_108_ADHD,Stigma - ADHD,tt3,percent,0.208,-0.456,0.64,FALSE,1.096
ADHD_108_ADHD,Stigma - ADHD,tt3,bca,0.208,-0.44,0.653,FALSE,1.092
ADHD_108_ADHD,Stigma - ADHD,tt4,normal,-0.465,-0.965,0.005,FALSE,0.97
ADHD_108_ADHD,Stigma - ADHD,tt4,basic,-0.465,-1.009,-0.042,TRUE,0.967
ADHD_108_ADHD,Stigma - ADHD,tt4,percent,-0.465,-0.889,0.079,FALSE,0.967
ADHD_108_ADHD,Stigma - ADHD,tt4,bca,-0.465,-0.888,0.08,FALSE,0.968
ADHD_112_ADHD,Stigma - ADHD,tt1,normal,-0.481,-0.99,0.035,FALSE,1.025
ADHD_112_ADHD,Stigma - ADHD,tt1,basic,-0.481,-1.02,-0.009,TRUE,1.01
ADHD_112_ADHD,Stigma - ADHD,tt1,percent,-0.481,-0.953,0.057,FALSE,1.01
ADHD_112_ADHD,Stigma - ADHD,tt1,bca,-0.481,-0.905,0.136,FALSE,1.04
ADHD_112_ADHD,Stigma - ADHD,tt2,normal,0.08,-0.536,0.646,FALSE,1.182
ADHD_112_ADHD,Stigma - ADHD,tt2,basic,0.08,-0.583,0.622,FALSE,1.205
ADHD_112_ADHD,Stigma - ADHD,tt2,percent,0.08,-0.462,0.743,FALSE,1.205
ADHD_112_ADHD,Stigma - ADHD,tt2,bca,0.08,-0.505,0.673,FALSE,1.178
ADHD_112_ADHD,Stigma - ADHD,tt3,normal,0.026,-0.522,0.631,FALSE,1.153
ADHD_112_ADHD,Stigma - ADHD,tt3,basic,0.026,-0.466,0.684,FALSE,1.15
ADHD_112_ADHD,Stigma - ADHD,tt3,percent,0.026,-0.631,0.519,FALSE,1.15
ADHD_112_ADHD,Stigma - ADHD,tt3,bca,0.026,-0.571,0.566,FALSE,1.138
ADHD_112_ADHD,Stigma - ADHD,tt4,normal,0.307,-0.271,0.854,FALSE,1.124
ADHD_112_ADHD,Stigma - ADHD,tt4,basic,0.307,-0.246,0.849,FALSE,1.094
ADHD_112_ADHD,Stigma - ADHD,tt4,percent,0.307,-0.234,0.86,FALSE,1.094
ADHD_112_ADHD,Stigma - ADHD,tt4,bca,0.307,-0.31,0.809,FALSE,1.119
ADHD_113_ADHD,Stigma - ADHD,tt1,normal,-0.089,-0.676,0.469,FALSE,1.145
ADHD_113_ADHD,Stigma - ADHD,tt1,basic,-0.089,-0.702,0.429,FALSE,1.131
ADHD_113_ADHD,Stigma - ADHD,tt1,percent,-0.089,-0.606,0.524,FALSE,1.131
ADHD_113_ADHD,Stigma - ADHD,tt1,bca,-0.089,-0.616,0.521,FALSE,1.137
